"Av_EV_mortero" "Av_EV_quijote" "Belm_EV_rana" "Belm_EV_sierra" "Cast_EV_barbador" "Cast_EV_comisario" "Cerv_EV_eleccion" "Cerv_EV_rufian" "Dub_EV_romances_R" "Hurt_EV_getafe" "Hurt_EV_miser1" "Hurt_EV_miser2" "Quev_EV_marido" "Quev_EV_niño" "Quin_EV_barbero" "Quin_EV_borracho" "Quin_EV_sacristanes" "Quin_EV_ventero" "Salas_EV_caprichoso" "Salas_EV_comisario" "Vel_EV_antonia" "Vel_EV_atarantados" "Vel_EV_burla"
"pues" 0.846325167037862 0.619195046439629 1.14810562571757 1.18460019743337 0.15527950310559 0.495750708215297 0.710999581764952 0.327153762268266 0.687285223367698 0.374298190892077 0.127496812579686 0.522317188983856 0.285714285714286 0.285918513223731 0.101419878296146 0.430338891877353 0.383351588170865 1.18384401114206 0.713063320022818 0.368867576540022 0.548947849954254 0.487465181058496 0.437828371278459
"le" 0.757238307349666 0.270897832817337 0.229621125143513 0.0987166831194472 1.08695652173913 0.28328611898017 0.334588038477624 0.508905852417303 0.343642611683849 0.873362445414847 0.552486187845304 0.949667616334283 0.342857142857143 0.571837026447462 0.405679513184584 0.860677783754707 0.547645125958379 0.487465181058496 0.484883057615516 0.516414607156031 0.274473924977127 0.348189415041783 0.525394045534151
"al" 0.489977728285078 0.425696594427245 0.803673938002296 0.394866732477789 0.62111801242236 0.637393767705382 0.334588038477624 0.581606688476917 0.343642611683849 0.561447286338116 0.679983000424989 0.427350427350427 0.685714285714286 0.50035739814153 0.304259634888438 0.215169445938677 0.328587075575027 0.696378830083565 0.484883057615516 0.737735153080044 0.457456541628545 0.278551532033426 0.525394045534151
"una" 0.267260579064588 0.309597523219814 0.574052812858783 0.987166831194472 0.31055900621118 0.28328611898017 0.334588038477624 0.472555434387495 0.171821305841924 0.249532127261385 0.637484062898428 0.332383665716999 0.685714285714286 0.142959256611866 1.01419878296146 0.484131253362023 0.711938663745893 1.04456824512535 0.399315459212778 0.405754334194024 0.365965233302836 0.278551532033426 0.437828371278459
"ha" 0.534521158129176 0.619195046439629 0.574052812858783 0.493583415597236 0.388198757763975 0.424929178470255 0.54370556252614 0.254452926208651 0.257731958762887 0.561447286338116 0.339991500212495 0.284900284900285 0.457142857142857 0.357398141529664 0.304259634888438 0.699300699300699 0.219058050383352 0.348189415041783 0.656018254420993 0.184433788270011 0.548947849954254 0.278551532033426 0.525394045534151
"del" 0.356347438752784 0.812693498452012 0.574052812858783 0.296150049358342 0.388198757763975 0.28328611898017 0.501882057716437 0.218102508178844 0.429553264604811 0.436681222707424 0.382490437739056 0.759734093067426 0.571428571428571 0.285918513223731 0 0.161377084454008 0.273822562979189 0.348189415041783 0.427837992013691 0.516414607156031 0.0914913083257091 0.139275766016713 0
"para" 0.356347438752784 0.11609907120743 0.459242250287026 0.394866732477789 0.388198757763975 0.495750708215297 0.794646591384358 0.290803344238459 0.343642611683849 0.0623830318153462 0.552486187845304 0.379867046533713 0.514285714285714 0.571837026447462 0.50709939148073 0.484131253362023 0.547645125958379 0.348189415041783 0.285225328009127 0.184433788270011 0.731930466605673 0.348189415041783 0.175131348511384
"su" 0.712694877505568 0.580495356037152 0.459242250287026 0.394866732477789 0.46583850931677 0.495750708215297 0.376411543287327 0.581606688476917 0.343642611683849 0.124766063630692 0.169995750106247 0.237416904083571 0.114285714285714 0.142959256611866 0.101419878296146 0.376546530392684 0.273822562979189 0.417827298050139 0.570450656018254 0.33198081888602 0.0914913083257091 0.487465181058496 0.350262697022767
"ya" 0.44543429844098 0.232198142414861 0 0.888450148075025 0.62111801242236 0 0.292764533667921 0.54525627044711 0.515463917525773 0.249532127261385 0.594985125371866 0.379867046533713 0.171428571428571 0.285918513223731 0.304259634888438 0.268961807423346 0.219058050383352 0.417827298050139 0.541928123217342 0.184433788270011 0.457456541628545 0.278551532033426 0.612959719789842
"como" 0.44543429844098 0.503095975232198 0.459242250287026 0.0987166831194472 0.62111801242236 0 0.54370556252614 0.581606688476917 0.601374570446735 0.124766063630692 0.297492562685933 0.0474833808167142 0.514285714285714 0.428877769835597 0.608519269776876 0.322754168908015 0.219058050383352 0.417827298050139 0.171135196805476 0.295094061232018 0.365965233302836 0.348189415041783 0.350262697022767
"señor" 0.489977728285078 0.425696594427245 0 0 0.62111801242236 0.0708215297450425 0.334588038477624 0.145401672119229 0.429553264604811 0.311915159076731 0.339991500212495 0.474833808167141 0.342857142857143 0 0.101419878296146 0.376546530392684 0.328587075575027 0.0696378830083565 0.969766115231033 0.221320545924013 0 0 0.700525394045534
"bien" 0.356347438752784 0.232198142414861 0.114810562571757 0.0987166831194472 0.31055900621118 0.354107648725212 0.627352572145546 0.327153762268266 0.515463917525773 0.623830318153462 0.254993625159371 0.617283950617284 0.285714285714286 0.285918513223731 0.405679513184584 0.215169445938677 0.273822562979189 0.417827298050139 0.199657729606389 0.33198081888602 0.182982616651418 0.20891364902507 0
"ser" 0.178173719376392 0.348297213622291 0.34443168771527 0.197433366238894 0.62111801242236 0.708215297450425 0.292764533667921 0.0727008360596147 0.257731958762887 0.0623830318153462 0.46748831279218 0.332383665716999 0.342857142857143 0.0714796283059328 0 0.107584722969338 0.109529025191676 0.20891364902507 0.513405590416429 0.516414607156031 1.0064043915828 0.278551532033426 0
"te" 0.356347438752784 0.348297213622291 0.114810562571757 0 0.077639751552795 0.0708215297450425 0.0836470096194061 0.581606688476917 0.429553264604811 0.0623830318153462 0 0.0949667616334283 0.171428571428571 0.643316654753395 0 0.430338891877353 0.273822562979189 0.278551532033426 0.598973188819167 0.295094061232018 0.182982616651418 0.557103064066852 0.350262697022767
"hay" 0.267260579064588 0.232198142414861 0 0.0987166831194472 0.077639751552795 0.141643059490085 0.460058552906734 0.145401672119229 0.171821305841924 0.623830318153462 0.46748831279218 0.522317188983856 0.514285714285714 0.214438884917798 0.202839756592292 0.322754168908015 0.219058050383352 0.139275766016713 0.0855675984027382 0.258207303578015 0.548947849954254 0.348189415041783 0.350262697022767
"os" 0.356347438752784 0.386996904024768 0.114810562571757 0.296150049358342 0 1.06232294617564 0.250941028858218 0.0363504180298073 0.343642611683849 0 0.509987250318742 0.759734093067426 0 0.0714796283059328 0 0.215169445938677 0.164293537787514 0.348189415041783 0.256702795208214 0.33198081888602 0.274473924977127 0.139275766016713 0.175131348511384
"soy" 0.311804008908686 0.11609907120743 1.03329506314581 0 0.232919254658385 0.141643059490085 0.334588038477624 0.327153762268266 0.257731958762887 0.311915159076731 0.339991500212495 0.0474833808167142 0.742857142857143 0.0714796283059328 0.304259634888438 0.215169445938677 0.219058050383352 0.278551532033426 0.0285225328009127 0.627074880118038 0.182982616651418 0.20891364902507 0.350262697022767
